"Nom","Adresse 1","Adresse 2","Code postal","Ville","TÈlÈphone 1","TÈlÈphone 2","Fax","NAF","SIRET","Effectif","Responsable","ActivitÈ"
"ANTIQUITES LECOMTE","","137 ROUTE NATIONALE 33 LA BOSSE DES LANDES","44810","HERIC","0240576383","","","4779Z","31784017100019","6 ‡ 9","LECOMTE DANIEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CALLIGARIS MEUBLES ET COMPAGNIE","","176 ROUTE VANNES","44700","ORVAULT","0240593353","","","4779Z","44127658100010","3 ‡ 5","BORIES FRANCOIS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PLANETE OCCASION","LA JALOUSIE","ROUTE NATIONALE 23 ROUTE PARIS","44470","CARQUEFOU","0240301860","","","4779Z","45304109700016","3 ‡ 5","ARNAUD.G HOLDING","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ORIGINES","","199 LIEU DIT AU CHATEAU","47200","MARCELLUS","0130881515","","0130881180","4779Z","38868555400106","3 ‡ 5","ORIGINES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CBG MIGNOT","LIEU DIT LES LOGES","1 ROUTE BOURGUEIL","49390","LA BREILLE LES PINS","0241387977","","","4791A","39487775700010","3 ‡ 5","PEMZEC LOIC","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"LA CAVERNE DES PARTICULIERS","ZI ST SERGE","7 RUE VAUCANSON","49100","ANGERS","0252161046","0241347771","0241270057","4779Z","39447391200027","6 ‡ 9","BRAULT NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA CLE DES TEMPS DEPOT VENTE DE COUTANCES","","LA BELLE HOTESSE","50200","COUTANCES","0233074104","","","4779Z","38085005700015","6 ‡ 9","PAINSECQ MANUEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROCCOM CAUDAN","ZI KERPONT","160 RUE KERLO","56850","CAUDAN","0297766080","","","4779Z","52762517200012","3 ‡ 5","LE CADET EMMANUEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MOTTE REMY","","202 RUE JEAN JAURES","59491","VILLENEUVE D'ASCQ","0320898891","","0320459875","4779Z","38175608900011","3 ‡ 5","MOTTE REMY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HOTEL DES VENTES DE RESSONS OISE ENCHERES","","81 RUE GEORGES LATAPIE","60490","RESSONS SUR MATZ","0344427171","","","4779Z","52459085800022","6 ‡ 9","DENOYELLE PASCAL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BOULOGNE ANTIQUITES","","31 RUE EUGENE HURET","62360","PONT DE BRIQUES","0321833645","","","4779Z","39322678200026","3 ‡ 5","FALIK JEAN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"L'ABCD'AIRE","","ROUTE DEPARTEMENTALE 943","62120","AIRE SUR LA LYS","0321126580","","","4779Z","82163502600015","3 ‡ 5","MERCIER MARC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BIARRITZ ENCHERES","","6 ALLEE AEROPOSTALE","64200","BIARRITZ","0559242188","","","4779Z","44028851200039","3 ‡ 5","CARAYOL MARIE-FRANCOISE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BROCANTE O'PLUS","","10 ALLEE SAMADET","64600","ANGLET","0559636755","","","4779Z","38810167700010","6 ‡ 9","VALENCE DOMINIQUE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CARRERE & LABORIE","","54 RUE PANNECAU","64100","BAYONNE","0559461669","","","4779Z","44155988700027","6 ‡ 9","CARRERE PATRICE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DOMAINE DE GAZTELUR","","IMPASSE GASTELHUR","64200","ARCANGUES","0559221668","","","4779Z","80344365400014","3 ‡ 5","DE LA RICA ENTRECANALES BRUNO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MOU MME ORTS GERARD","","30 RUE HENRI IV","64000","PAU","0559273130","","","4779Z","38393662200034","3 ‡ 5","Orts GERARD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PATRICK DELAN","","4 RUE GASSION","64000","PAU","0559274562","","","4779Z","38025623000018","3 ‡ 5","DELAN PATRICK","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ANTIQUITES BASTIAN","","24 PLACE CATHEDRALE","67000","STRASBOURG","0388324593","","0388759792","4779Z","58850530500015","3 ‡ 5","BASTIAN JACQUES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ENTREPRISE LAURENT SIESO","","153 RUE PRINCIPALE","67150","HINDISHEIM","0388641632","","","4779Z","44278839400017","6 ‡ 9","SIESO LAURENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ANTIQUITES BERTRAND KLEIN","","19 RUE TANNEURS","68100","MULHOUSE","0389465141","","","4779Z","38469472500019","10 ‡ 19","KOENIG PASCALE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ANTIQUITES FONTAINE CHRISTOPHE","","26 RUE MARCHANDS","68000","COLMAR","0680584694","","","4779Z","34977673200027","3 ‡ 5","FONTAINE CHRISTOPHE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DEPOT VENTE LA GONDOLE","","12 ROUTE AUTUN","71190","BROYE","0385527533","","","4779Z","80187073400028","6 ‡ 9","PORTIER BENOIT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DIDIER MARTIN","","44 RUE BELLEVUE","71600","PARAY LE MONIAL","0680301844","","","4779Z","33958804800035","3 ‡ 5","MARTIN DIDIER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LE VILLAGE BROCANTE","","33 RUE NICEPHORE NIEPCE","71400","AUTUN","0625014691","","","4779Z","80187073400044","6 ‡ 9","PORTIER BENOIT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"RAMBUTEAU RENOUD GRAPPIN","","45 RUE MOULIN DU BOIS","71260","CHARBONNIERES","0385369038","","","4779Z","50788803000016","3 ‡ 5","LOMBARD de BUFFIERES de RAMBUTEAU PATRICE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AU FACTEUR CHEVAL","","124 RUE ST CHARLES","75015","PARIS","0145795993","","","4779Z","38272024100027","3 ‡ 5","Morlon HENRI","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AVELINE JEAN MARIE ROSSI","","94 RUE FAUBOURG ST HONORE","75008","PARIS","0142666029","","0142664591","4779Z","56204119400027","3 ‡ 5","Rossi MARELLA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BUVELOT","ENS ARCHITECTURE","9 QUAI VOLTAIRE","75007","PARIS","0142612409","","","4779Z","56206933600013","3 ‡ 5","Le Brenn JOCELYNE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COURCELLES ANTIQUITES","","97 RUE COURCELLES","75017","PARIS","0142278281","","","4779Z","41110455700011","3 ‡ 5","Cazals de Fabel ANTOINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ERIC PHILIPPE","","25 GALERIE VERO DODAT","75001","PARIS","0142332826","","","4779Z","32716842300017","3 ‡ 5","Bancilhon MICHELE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FAUNES","","34 AVENUE MATIGNON","75008","PARIS","0140159326","","","4779Z","38223368200022","3 ‡ 5","DE VOLDERE FLORENCE DENISE BERNADETTE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"FREMONTIER ANTIQUAIRES","","5 QUAI VOLTAIRE","75007","PARIS","0142616490","","","4779Z","39199783000016","3 ‡ 5","FINUCCI JOSETTE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE ATENA","","8 RUE MIROMESNIL","75008","PARIS","0139143536","","","4791B","44038758700049","3 ‡ 5","Sioufi FREDERIC","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"GALERIE CHARLES RATTON","","11 QUAI VOLTAIRE","75007","PARIS","0142612979","","0142611379","4779Z","32714735100032","3 ‡ 5","LADRIERE GUY","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE DELALANDE","","35 RUE LILLE","75007","PARIS","0142601935","","","4779Z","44933628800021","3 ‡ 5","Delalande ERIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE J POINT","","43 RUE STE ANNE","75001","PARIS","0142602785","","","4779Z","53104049100031","3 ‡ 5","OYAMA JUNKO","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE LEAGE","","178 RUE FAUBOURG ST HONORE","75008","PARIS","0145634346","","0142564630","4779Z","71204027800020","3 ‡ 5","Leage GUILLAUME","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE NICOLAS BOURRIAUD","","205 RUE FAUBOURG ST HONORE","75008","PARIS","0608704483","","","4779Z","53918365700045","3 ‡ 5","Bourriaud NICOLAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE PASCAL CUISINIER","","13 RUE SEINE","75006","PARIS","0143543461","","","4779Z","49248385400047","3 ‡ 5","Cuisinier PASCAL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"GALERIE PERRIN","","98 RUE FAUBOURG ST HONORE","75018","PARIS","0142650138","","","4779Z","34109594100017","3 ‡ 5","PERRIN JACQUES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA MAISON DU ROY","","24 PAS JOUFFROY 24 PASSAGE JOUFFROY","75009","PARIS","0145512994","","","4779Z","38387110000103","6 ‡ 9","VERGER CAROLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LE POILU","","18 RUE EMILE DUCLAUX","75015","PARIS","0143067732","","","4779Z","32502101200027","3 ‡ 5","Besnard PIERRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LES ENLUMINURES","","1 RUE JEAN JACQUES ROUSSEAU","75001","PARIS","0142601558","","","4779Z","38220157200031","3 ‡ 5","LUZOT MURIEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PAQUEBOT LACOSTE","","12 RUE SEINE","75006","PARIS","0140204182","","","4779Z","33828535600055","3 ‡ 5","LACOSTE JACQUES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"THOMAS PETIT","","38 RUE BATIGNOLLES","75017","PARIS","0142930575","","","4779Z","79810076400017","6 ‡ 9","Petit THOMAS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"UNIVERS DU BRONZE","","29 RUE PENTHIEVRE","75008","PARIS","0142896985","","","4779Z","33504388100028","6 ‡ 9","Poletti MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"VS ANTIQUITES","","17 RUE DUMONT D'URVILLE","75116","PARIS","0778322275","","","4779Z","83228154700014","3 ‡ 5","Sophin SEBASTIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"WANECQ EURL","","12 RUE SAINTS PERES","75007","PARIS","0142608364","","","4779Z","44800781500013","3 ‡ 5","GANN GERTRAUD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HOTEL DES VENTES DE LA SEINE SARL","A L'ANGLE DE LA","RUE 134 R MART 40 RUE VICTOR HUGO","76000","ROUEN","0235886064","","","4779Z","48055603400027","6 ‡ 9","CHEROYAN GUILLAUME","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ABSL","","21 RUE GEN LECLERC","78000","VERSAILLES","0130217812","","","4779Z","42275248500017","3 ‡ 5","FLEURY JEAN-YVES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ANTIQUITES SAINT LOUIS","","21 RUE GEN LECLERC","78000","VERSAILLES","0680133599","","","4779Z","42275248500058","3 ‡ 5","FLEURY JEAN-YVES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ARTS ANTIQUITES PELLAT VILLEDON","","3 RUE BAILLAGE","78000","VERSAILLES","0139021460","","","4779Z","48991544700028","3 ‡ 5","PELLAT LUDOVIC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AU FACTEUR CHEVAL","","12 RUE ETATS GENERAUX","78000","VERSAILLES","0139240425","","","4779Z","38272024100035","3 ‡ 5","Morlon HENRI","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"HUBERT GERARD","","ZI CLAUSET","88170","RAINVILLE","0329064611","","","4779Z","32776084900072","3 ‡ 5","GERARD HUBERT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA GALERIE DES LEGENDES","","142 RUE ROSIERS","93400","ST OUEN","0607161490","","","4779Z","33749710100069","10 ‡ 19","ESTADES MICHEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LES MERVEILLES DE BABELLOU","","10 RUE PAUL BERT","93400","ST OUEN","0140116150","","","4779Z","49307444700043","10 ‡ 19","Isabelle KLEIN CONCEPT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MAISON BEYS","","118 RUE ROSIERS","93400","ST OUEN","0140127990","","0140124271","4779Z","32672837500014","3 ‡ 5","BEYS MICHELINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"PARIS OISE ENCHERES","","3 IMPASSE SIMON","93400","ST OUEN","0607472717","","","4779Z","52459085800048","6 ‡ 9","DENOYELLE PASCAL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"RENNES ENCHERES","","32 PLACE LICES","35000","RENNES","0299315800","","0299655264","4779Z","52344542700017","3 ‡ 5","JEZEQUEL CAROLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","RUE MARCEL PAUL","02200","SOISSONS","0323732952","","","4779Z","75190755100012","6 ‡ 9","FOURNIER FABIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","ZAC LA PORTE NORD","91 RUE CHRISTOPHE COLOMB","62700","BRUAY LA BUISSIERE","0321621072","","","4779Z","54000918000014","6 ‡ 9","BEE JULIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH SELESTAT","","13 RUE WESTRICH","67600","SELESTAT","0390600600","","","4779Z","82014150500017","3 ‡ 5","DAMPFHOFFER ALEXANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COLLECTOR SQUARE","","36 BOULEVARD RASPAIL","75007","PARIS","0146343530","","","4791B","53884705400037","20 ‡ 49","Orlowski NICOLAS","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LA GALERIE PARISIENNE","","26 RUE SEINE","75006","PARIS","0143299218","","","4779Z","53007796500024","3 ‡ 5","CHASSARD EMMANUELLE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MILLER","","233 RUE ST HONORE","75001","PARIS","0142616313","","0142612297","4779Z","35107166700015","10 ‡ 19","Zribi SARAH","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"DEUX SEVRES ENCHERES ET EXPERTISES","","33 RUE LOUIS BRAILLE","79200","PARTHENAY","0549250758","","","4779Z","48777851600038","3 ‡ 5","BIARD GAEL","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","32 RUE MAR FOCH","80100","ABBEVILLE","0322246483","","","4779Z","80833339700020","3 ‡ 5","BEE JULIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","785 AVENUE JEAN MOULIN","82000","MONTAUBAN","0563665419","","","4779Z","79944876600011","6 ‡ 9","PERRONNET RICHARD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ACHAT OR ET COLLECTIONS FRANCIS GRESSE","","95 RUE CHATEAUDUN","83700","ST RAPHAEL","0494545885","","","4779Z","53388616400029","3 ‡ 5","GRESSE SYLVIE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CASH CONVERTERS","","22 AVENUE NATIONS","93420","VILLEPINTE","0327605931","","","4779Z","41433946500034","3 ‡ 5","MONTICELLO BUSINESS","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MULTIMAT SARL","","33 CHEMIN PRAT LONG","31200","TOULOUSE","0561628126","","","4779Z","49815107500021","3 ‡ 5","FERRARA TIMOTHEE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OBJECTIF SILENCE","","146 AVENUE CHARLES DE GAULLE","92200","NEUILLY SUR SEINE","0175909060","","","4791B","82466336300037","3 ‡ 5","LEMOINE JEAN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EMMAUS COMMUNAUTE","","33 RUE GEORGES CLEMENCEAU","52000","CHAUMONT","0325017352","","","4779Z","39952557500029","50 ‡ 99","EMMAUS HAUTE- MARNE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"AU COFFRE","","42 RUE TAUZIA","33800","BORDEAUX","0180884880","","","4779Z","51019427700024","20 ‡ 49","EURL A BUSINESS WORLD","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"OUTILLAGE 2000","","3 Bis RUE CAMP","67240","OBERHOFFEN SUR MODER","0388632708","","0388635360","4791B","33351329900029","3 ‡ 5","STUMPF RAPHAEL","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"GENTLEMEN DESIGNERS","","2 ROUTE KIRCHHEIM","67520","ODRATZHEIM","0777312397","","","4779Z","53946792800021","6 ‡ 9","CHOPARD JULIEN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"CDA CHR SARL","","141 AVENUE ARISTIDE BRIAND","38220","VIZILLE","0476427869","","","4791B","50176620800034","3 ‡ 5","BUTHIAUX CINDY","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"9 OCCASION AGENCEMENT","","4 ROUTE BLENDECQUES","62219","LONGUENESSE","0321953130","","","4779Z","53829855500029","6 ‡ 9","THELLIER MATHIEU","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"JENILE INTERNATIONAL","BAT CELL 4 C","40 BOULEVARD NESLES","77420","CHAMPS SUR MARNE","0618621025","","","4791B","80373687500011","3 ‡ 5","Chaieb HASSEN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"KRE CONCEPT","","3 AVENUE VILLA ANTONY","94410","ST MAURICE","0148838196","","0148891964","4791A","42138043700069","20 ‡ 49","KONJOVIC KOSTA","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"LOISIRS ENCHERES","","18 RUE PORTE DIJEAUX","33000","BORDEAUX","0973729192","","","4791B","80127061200048","20 ‡ 49","BONFILS FREDERIC","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"DOMILIB","","11 ALLEE BOULEAUX","06800","CAGNES SUR MER","0493085502","","","4791B","81244497400016","3 ‡ 5","MARECHAL OLIVIER","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EXCELL CONTACT SAS","","167 ROUTE LORIENT","35000","RENNES","0230080808","","","4791A","75253724100024","10 ‡ 19","QUERAT JEAN-LUC","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"CREAREF","","25 AVENUE PROSPECTIVE","18000","BOURGES","0218150252","","","4791B","52419814000039","20 ‡ 49","MADELPUECH PIERRE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LUDIK & CO","","25 AVENUE ROBERT SCHUMAN","57000","METZ","0647326338","","","4791A","84078684200012","3 ‡ 5","LUDIK & CO (SOCIETE EN LIQUIDATION)","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"NUMERIA COMMUNICATION","","4 RUE ENRICO FERMI","63540","ROMAGNAT","0473289373","","","4791A","79183203300033","6 ‡ 9","COUSSERAND PIERRE-LOUIS","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"PANO CLERMONT FERRAND","","44 AVENUE COURNON","63170","AUBIERE","0660023618","","","4791B","85261756200032","3 ‡ 5","SARRE ANNELISE","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"SODECO NEW","","5 RUE FRERES CHAPPE","72200","LA FLECHE","0243942926","","0243944676","4791B","43025818600013","3 ‡ 5","SALUSTRI DAVID","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"EFFILIATION SA","","80 RUE TAITBOUT","75009","PARIS","0140185404","","","4791A","43283155000038","50 ‡ 99","EFFINITY HOLDING","VENTE A DISTANCE SUR CATALOGUE GENERAL"
